iter	Passed	Remaining
0	194	193990
1	211	105613
2	222	74014
3	230	57317
4	233	46546
5	237	39288
6	240	34166
7	244	30301
8	247	27275
9	251	24862
10	257	23133
11	260	21454
12	262	19956
13	266	18748
14	269	17694
15	274	16867
16	278	16103
17	283	15477
18	289	14928
19	293	14365
20	296	13832
21	301	13411
22	309	13165
23	313	12739
24	316	12349
25	320	12007
26	323	11668
27	326	11350
28	330	11054
29	334	10822
30	343	10742
31	347	10507
32	352	10323
33	355	10104
34	358	9897
35	362	9698
36	367	9557
37	370	9386
38	373	9211
39	379	9105
40	382	8940
41	385	8783
42	387	8632
43	391	8508
44	395	8390
45	398	8266
46	401	8145
47	404	8025
48	408	7932
49	412	7831
50	415	7732
51	426	7784
52	432	7727
53	438	7675
54	445	7649
55	450	7592
56	457	7562
57	488	7937
58	494	7881
59	512	8031
60	537	8269
61	542	8209
62	550	8190
63	559	8184
64	564	8126
65	573	8113
66	577	8037
67	584	8012
68	592	7988
69	596	7920
70	600	7859
71	606	7819
72	610	7756
73	614	7695
74	620	7652
75	633	7697
76	637	7639
77	641	7580
78	651	7600
79	656	7544
80	659	7485
81	662	7422
82	667	7372
83	670	7312
84	673	7250
85	676	7190
86	679	7129
87	684	7098
88	687	7040
89	690	6982
90	693	6928
91	698	6890
92	701	6843
93	704	6792
94	707	6741
95	710	6690
96	715	6664
97	719	6618
98	721	6570
99	725	6525
100	727	6478
101	732	6445
102	735	6401
103	738	6361
104	741	6323
105	748	6312
106	752	6277
107	762	6298
108	765	6260
109	769	6223
110	772	6183
111	775	6152
112	778	6113
113	781	6075
114	784	6038
115	787	6001
116	791	5975
117	794	5941
118	798	5913
119	801	5878
120	804	5843
121	808	5815
122	819	5840
123	823	5814
124	826	5787
125	829	5756
126	832	5723
127	835	5690
128	838	5659
129	842	5639
130	845	5609
131	848	5579
132	851	5549
133	854	5520
134	858	5499
135	861	5472
136	864	5444
137	866	5415
138	869	5387
139	873	5367
140	876	5339
141	879	5313
142	882	5286
143	884	5260
144	889	5243
145	891	5217
146	894	5191
147	897	5166
148	900	5141
149	904	5125
150	907	5102
151	910	5078
152	913	5054
153	916	5032
154	920	5017
155	923	4994
156	926	4972
157	928	4949
158	931	4928
159	935	4910
160	938	4888
161	940	4867
162	943	4844
163	946	4824
164	949	4803
165	953	4789
166	955	4768
167	958	4747
168	961	4729
169	964	4711
170	968	4695
171	971	4676
172	974	4657
173	977	4638
174	980	4620
175	984	4607
176	986	4588
177	989	4570
178	992	4553
179	995	4535
180	999	4520
181	1002	4503
182	1004	4485
183	1007	4467
184	1010	4450
185	1013	4434
186	1016	4418
187	1018	4401
188	1021	4384
189	1024	4367
190	1027	4350
191	1031	4339
192	1033	4322
193	1036	4307
194	1038	4285
195	1040	4269
196	1043	4253
197	1047	4242
198	1050	4226
199	1052	4211
200	1055	4195
201	1057	4179
202	1061	4166
203	1064	4152
204	1066	4137
205	1068	4118
206	1071	4104
207	1074	4089
208	1077	4078
209	1080	4064
210	1083	4050
211	1086	4037
212	1088	4023
213	1091	4009
214	1095	3999
215	1098	3985
216	1100	3971
217	1103	3958
218	1106	3945
219	1110	3938
220	1113	3925
221	1116	3912
222	1119	3899
223	1122	3887
224	1128	3886
225	1132	3876
226	1134	3864
227	1137	3852
228	1142	3846
229	1145	3835
230	1148	3823
231	1151	3811
232	1154	3799
233	1158	3792
234	1161	3780
235	1164	3768
236	1167	3757
237	1170	3746
238	1174	3740
239	1177	3729
240	1180	3718
241	1183	3706
242	1186	3696
243	1191	3690
244	1193	3679
245	1196	3668
246	1199	3657
247	1202	3647
248	1207	3641
249	1210	3630
250	1213	3619
251	1216	3609
252	1220	3603
253	1223	3593
254	1226	3582
255	1229	3572
256	1232	3562
257	1236	3554
258	1238	3544
259	1241	3533
260	1244	3523
261	1246	3512
262	1249	3501
263	1254	3496
264	1256	3486
265	1259	3475
266	1262	3465
267	1265	3455
268	1269	3448
269	1272	3439
270	1274	3429
271	1277	3419
272	1280	3409
273	1284	3402
274	1286	3392
275	1289	3382
276	1292	3374
277	1295	3364
278	1299	3358
279	1302	3349
280	1305	3340
281	1308	3331
282	1311	3322
283	1316	3317
284	1318	3308
285	1321	3300
286	1324	3290
287	1327	3281
288	1331	3276
289	1334	3268
290	1338	3260
291	1341	3252
292	1344	3243
293	1348	3238
294	1352	3231
295	1355	3223
296	1359	3217
297	1363	3212
298	1367	3205
299	1369	3196
300	1372	3188
301	1375	3179
302	1379	3173
303	1382	3165
304	1385	3156
305	1388	3148
306	1390	3139
307	1394	3134
308	1398	3127
309	1401	3120
310	1405	3113
311	1408	3106
312	1414	3104
313	1417	3096
314	1420	3088
315	1422	3080
316	1426	3074
317	1430	3066
318	1432	3058
319	1435	3050
320	1438	3042
321	1442	3036
322	1445	3029
323	1447	3020
324	1450	3012
325	1453	3004
326	1456	2997
327	1460	2993
328	1463	2985
329	1466	2977
330	1469	2969
331	1472	2962
332	1477	2959
333	1480	2951
334	1482	2943
335	1485	2936
336	1488	2928
337	1491	2921
338	1494	2914
339	1497	2906
340	1500	2899
341	1502	2891
342	1507	2887
343	1510	2880
344	1513	2873
345	1516	2866
346	1519	2859
347	1522	2852
348	1525	2845
349	1528	2838
350	1531	2831
351	1533	2823
352	1538	2820
353	1541	2813
354	1544	2806
