iter	Passed	Remaining
0	2	2266
1	4	2091
2	6	2047
3	8	1997
4	10	2161
5	15	2568
6	18	2593
7	20	2544
8	22	2475
9	24	2443
10	27	2435
11	29	2420
12	31	2393
13	34	2397
14	36	2366
15	38	2385
16	41	2415
17	45	2472
18	47	2450
19	49	2427
20	51	2400
21	53	2369
22	54	2323
23	58	2362
24	60	2363
25	62	2341
26	64	2319
27	66	2297
28	67	2276
29	69	2256
30	72	2255
31	76	2315
32	78	2298
33	80	2281
34	81	2255
35	83	2226
36	84	2212
37	86	2201
38	89	2198
39	90	2172
40	92	2159
41	94	2147
42	95	2134
43	97	2123
44	99	2111
45	101	2101
46	103	2100
47	105	2093
48	107	2082
49	109	2071
50	110	2060
51	112	2051
52	114	2041
53	117	2061
54	119	2053
55	121	2043
56	122	2027
57	123	2013
58	125	2005
59	127	1998
60	129	1989
61	130	1981
62	134	1995
63	135	1984
64	137	1975
65	138	1964
66	140	1958
67	142	1951
68	143	1942
69	145	1936
70	147	1929
71	150	1934
72	151	1928
73	153	1922
74	155	1917
75	157	1911
76	158	1905
77	160	1900
78	162	1894
79	165	1906
80	167	1902
81	169	1892
82	170	1887
83	172	1881
84	174	1877
85	176	1874
86	178	1870
87	181	1885
88	184	1886
89	186	1881
90	188	1878
91	189	1873
92	191	1870
93	193	1865
94	195	1862
95	198	1864
96	200	1862
97	201	1856
98	203	1851
99	205	1848
100	207	1845
101	209	1842
102	213	1855
103	215	1853
104	217	1851
105	219	1847
106	220	1844
107	222	1840
108	224	1835
109	226	1829
110	229	1841
111	232	1841
112	234	1841
113	236	1839
114	238	1836
115	240	1833
116	243	1837
117	245	1838
118	247	1835
119	249	1831
120	251	1828
121	253	1823
122	255	1819
123	257	1816
124	260	1822
125	262	1820
126	263	1814
127	265	1810
128	267	1807
129	269	1804
130	271	1802
131	273	1798
132	276	1802
133	278	1798
134	280	1795
135	282	1792
136	284	1789
137	285	1785
138	287	1782
139	289	1779
140	293	1786
141	294	1782
142	296	1777
143	298	1774
144	300	1771
145	302	1769
146	304	1765
147	306	1762
148	308	1761
149	310	1760
150	312	1757
151	314	1754
152	316	1751
153	318	1747
154	320	1744
155	323	1751
156	325	1749
157	327	1747
158	330	1746
159	332	1743
160	334	1741
161	336	1738
162	339	1743
163	341	1742
164	343	1738
165	345	1734
166	347	1731
167	349	1729
168	350	1723
169	353	1725
170	355	1723
171	357	1720
172	358	1715
173	360	1711
174	362	1708
175	364	1705
176	366	1702
177	367	1698
178	371	1704
179	373	1701
180	375	1697
181	377	1695
182	379	1692
183	381	1689
184	382	1685
185	386	1689
186	388	1687
187	390	1684
188	391	1681
189	393	1678
